skill,count,date
ai,11,2026-08-03
typescript,8,2026-08-03
javascript,8,2026-08-03
react,7,2026-08-03
gcp,7,2026-08-03
aws,5,2026-08-03
python,5,2026-08-03
sql,5,2026-08-03
kubernetes,4,2026-08-03
docker,4,2026-08-03
azure,3,2026-08-03
java,3,2026-08-03
node.js,3,2026-08-03
postgresql,3,2026-08-03
mysql,3,2026-08-03
vue,2,2026-08-03
ci/cd,2,2026-08-03
git,2,2026-08-03
redis,2,2026-08-03
django,2,2026-08-03
machine learning,2,2026-08-03
linux,2,2026-08-03
flask,1,2026-08-03
fastapi,1,2026-08-03
agile,1,2026-08-03
spring boot,1,2026-08-03
mongodb,1,2026-08-03
angular,1,2026-08-03
